(2011, 'E33', -0.556908, '3')
(2012, 'E33', -0.489291, '0')
(2012, 'E33', -0.677196, '2')
(2012, 'E33', -0.514193, '3')
(2013, 'E33', -0.456338, '0')
(2013, 'E33', -0.388676, '1')
(2013, 'E33', -0.784811, '2')
(2013, 'E33', -0.434138, '3')
(2014, 'E33', -0.694308, '0')
(2014, 'E33', -0.908172, '1')
(2014, 'E33', -0.862778, '2')
(2014, 'E33', -0.509385, '3')
(2015, 'E33', -0.618588, '0')
(2015, 'E33', -0.782016, '1')
(2015, 'E33', 0.062261, '2')
(2015, 'E33', -0.305781, '3')
(2016, 'E33', -0.600782, '0')
(2016, 'E33', 0.031502, '2')
(2016, 'E33', -0.461682, '3')
(2017, 'E33', -0.539428, '0')
(2017, 'E33', -0.270636, '1')
(2017, 'E33', -0.915214, '2')
(2017, 'E33', -0.435295, '3')
(2011, 'E33', -0.660212, '3')
(2012, 'E33', -0.287135, '0')
(2012, 'E33', -0.987425, '2')
(2012, 'E33', -0.496985, '3')
(2013, 'E33', -0.457016, '0')
(2013, 'E33', -0.805814, '1')
(2013, 'E33', -0.950403, '2')
(2013, 'E33', -0.205336, '3')
(2014, 'E33', -0.553693, '0')
(2014, 'E33', -0.899982, '1')
(2014, 'E33', -0.633351, '2')
(2014, 'E33', -0.301741, '3')
(2015, 'E33', -0.457905, '0')
(2015, 'E33', -0.816186, '1')
(2015, 'E33', -0.959654, '2')
(2015, 'E33', -0.43916, '3')
(2016, 'E33', -0.603328, '0')
(2016, 'E33', -0.917506, '2')
(2016, 'E33', -0.283862, '3')
(2017, 'E33', -0.301734, '0')
(2017, 'E33', -0.972739, '1')
(2017, 'E33', -0.701113, '2')
(2017, 'E33', -0.248106, '3')
(2011, 'E33', 0.746634, '3')
(2012, 'E33', 0.791439, '0')
(2012, 'E33', -0.891594, '2')
(2012, 'E33', 0.693686, '3')
(2013, 'E33', 0.729164, '0')
(2013, 'E33', 0.429554, '1')
(2013, 'E33', -0.794972, '2')
(2013, 'E33', 0.842701, '3')
(2014, 'E33', 0.637841, '0')
(2014, 'E33', 0.620297, '1')
(2014, 'E33', 0.901788, '2')
(2014, 'E33', 0.795545, '3')
(2015, 'E33', 0.751642, '0')
(2015, 'E33', 0.342062, '1')
(2015, 'E33', -0.22747, '2')
(2015, 'E33', 0.778945, '3')
(2016, 'E33', 0.601999, '0')
(2016, 'E33', 0.09457, '2')
(2016, 'E33', 0.804481, '3')
(2017, 'E33', 0.702117, '0')
(2017, 'E33', 0.949767, '1')
(2017, 'E33', 0.931397, '2')
(2017, 'E33', 0.797725, '3')
(2011, 'E33', 0.16166, '3')
(2012, 'E33', 0.276691, '0')
(2012, 'E33', 0.670877, '2')
(2012, 'E33', 0.159098, '3')
(2013, 'E33', 0.325412, '0')
(2013, 'E33', -0.231427, '1')
(2013, 'E33', -0.003164, '2')
(2013, 'E33', 0.179387, '3')
(2014, 'E33', 0.342982, '0')
(2014, 'E33', 0.247248, '1')
(2014, 'E33', 0.099577, '2')
(2014, 'E33', 0.077822, '3')
(2015, 'E33', 0.067417, '0')
(2015, 'E33', 0.861547, '1')
(2015, 'E33', -0.177976, '2')
(2015, 'E33', 0.177827, '3')
(2016, 'E33', 0.424848, '0')
(2016, 'E33', 0.71728, '2')
(2016, 'E33', 0.186665, '3')
(2017, 'E33', 0.325713, '0')
(2017, 'E33', 0.167934, '1')
(2017, 'E33', -0.42473, '2')
(2017, 'E33', 0.087441, '3')
